match_id,group_id,round_in_group,team_a,team_b,venue_id,slot_id,city,country,reference_date,reference_kickoff_time,local_datetime,utc_datetime,required_security_level,expected_attendance,expected_tv_viewers,ticket_revenue_usd,broadcast_value_usd,travel_cost_index,fairness_penalty,risk_index,total_objective_value
GA01,A,1,Mexico,South Africa,V15,S031,Toronto,Canada,2026-06-13,12:00,,2026-06-13 16:00,2,38058.0,143.3364,3044640.0,2.86,0.434,0.6667,0.4543,19.108821
GA02,A,1,South Korea,Czechia,V16,S034,Vancouver,Canada,2026-06-13,21:00,,2026-06-14 01:00,3,45103.0,162.8769,3608240.0,3.29,0.5176,0.6667,0.5283,
GA03,A,2,Mexico,South Korea,V04,S064,Guadalajara,Mexico,2026-06-16,21:00,,2026-06-17 01:00,3,44008.0,167.3814,4180760.0,4.04,0.4975,0.6667,0.5296,
GA04,A,2,South Africa,Czechia,V07,S081,Los Angeles,United States,2026-06-18,12:00,,2026-06-18 16:00,3,46116.0,149.1626,4381020.0,3.65,0.5492,0.6667,0.407,
GA05,A,3,Mexico,Czechia,V04,S181,Guadalajara,Mexico,2026-06-28,12:00,,2026-06-28 16:00,2,37158.0,151.755,4087380.0,5.73,0.4988,0.6667,0.4202,
GA06,A,3,South Africa,South Korea,V10,S151,Monterrey,Mexico,2026-06-25,12:00,,2026-06-25 16:00,2,41308.0,153.1637,4543880.0,5.96,0.4335,0.6667,0.445,
GB01,B,1,Canada,Bosnia and Herzegovina,V02,S031,Boston,United States,2026-06-13,12:00,,2026-06-13 16:00,3,47891.0,167.3309,3831280.0,3.34,0.2069,0.6667,0.4881,
GB02,B,1,Qatar,Switzerland,V02,S061,Boston,United States,2026-06-16,12:00,,2026-06-16 16:00,2,41648.0,156.6954,3331840.0,2.98,0.4567,0.6667,0.393,
GB03,B,2,Canada,Qatar,V08,S094,Mexico City,Mexico,2026-06-19,21:00,,2026-06-20 01:00,3,47317.0,163.5991,4495115.0,4.0,0.4959,0.6667,0.3872,
GB04,B,2,Bosnia and Herzegovina,Switzerland,V10,S114,Monterrey,Mexico,2026-06-21,21:00,,2026-06-22 01:00,2,33856.0,158.5332,3216320.0,3.88,0.4307,0.6667,0.4032,
GB05,B,3,Canada,Switzerland,V08,S141,Mexico City,Mexico,2026-06-24,12:00,,2026-06-24 16:00,3,45758.0,175.9018,5033380.0,7.04,0.4959,0.6667,0.3818,
GB06,B,3,Bosnia and Herzegovina,Qatar,V01,S204,Atlanta,United States,2026-06-30,21:00,,2026-07-01 01:00,3,46989.0,154.689,5168790.0,5.93,0.4259,0.6667,0.4835,
GC01,C,1,Brazil,Morocco,V08,S021,Mexico City,Mexico,2026-06-12,12:00,,2026-06-12 16:00,4,50404.0,193.2727,4032320.0,4.08,0.4228,0.6667,0.4478,
GC02,C,1,Haiti,Scotland,V02,S014,Boston,United States,2026-06-11,21:00,,2026-06-12 01:00,2,34899.0,144.5058,2791920.0,2.71,0.2014,0.6667,0.3623,
GC03,C,2,Brazil,Haiti,V10,S061,Monterrey,Mexico,2026-06-16,12:00,,2026-06-16 16:00,1,32034.0,150.3701,3043230.0,3.46,0.4084,0.6667,0.3263,
GC04,C,2,Morocco,Scotland,V05,S051,Houston,United States,2026-06-15,12:00,,2026-06-15 16:00,3,47021.0,173.7179,4466995.0,4.38,0.3745,0.6667,0.5153,
GC05,C,3,Brazil,Scotland,V06,S131,Kansas City,United States,2026-06-23,12:00,,2026-06-23 16:00,2,37830.0,170.1002,4161300.0,7.1,0.4032,0.6667,0.4385,
GC06,C,3,Morocco,Haiti,V06,S141,Kansas City,United States,2026-06-24,12:00,,2026-06-24 16:00,1,33507.0,151.7628,3685770.0,6.08,0.4032,0.6667,0.3215,
GD01,D,1,United States,Paraguay,V04,S034,Guadalajara,Mexico,2026-06-13,21:00,,2026-06-14 01:00,3,45358.0,172.303,3628640.0,3.49,0.2694,0.6667,0.5381,
GD02,D,1,Australia,Turkey,V13,S031,San Francisco Bay Area,United States,2026-06-13,12:00,,2026-06-13 16:00,3,47267.0,178.4709,3781360.0,3.56,0.6918,0.6667,0.457,
GD03,D,2,United States,Australia,V03,S114,Dallas,United States,2026-06-21,21:00,,2026-06-22 01:00,4,52473.0,171.4465,4984935.0,4.2,0.3952,0.6667,0.4675,
GD04,D,2,Paraguay,Turkey,V08,S121,Mexico City,Mexico,2026-06-22,12:00,,2026-06-22 16:00,4,56083.0,183.1712,5327885.0,4.62,0.4976,0.6667,0.4672,
GD05,D,3,United States,Turkey,V08,S164,Mexico City,Mexico,2026-06-26,21:00,,2026-06-27 01:00,3,50782.0,181.5097,5586020.0,6.96,0.4097,0.6667,0.3991,
GD06,D,3,Paraguay,Australia,V10,S181,Monterrey,Mexico,2026-06-28,12:00,,2026-06-28 16:00,3,49657.0,172.4093,5462270.0,6.51,0.3889,0.6667,0.5585,
GE01,E,1,Germany,Curacao,V10,S014,Monterrey,Mexico,2026-06-11,21:00,,2026-06-12 01:00,1,32210.0,151.5826,2576800.0,2.84,0.3508,0.6667,0.3273,
GE02,E,1,Ivory Coast,Ecuador,V09,S024,Miami,United States,2026-06-12,21:00,,2026-06-13 01:00,3,50415.0,182.2018,4033200.0,3.63,0.2921,0.6667,0.5135,
